1DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME (Year),DIM_SEX,VALUE_NUMERIC (%),VALUE_NUMERIC_LOWER (%),VALUE_NUMERIC_UPPER (%)
28,Antigua and Barbuda,1950,Total,11.88,10.97,12.93
28,Antigua and Barbuda,1950,Female,11.49,10.52,12.58
28,Antigua and Barbuda,1950,Male,12.26,11.26,13.39
36,Australia,1950,Total,3.16,3.06,3.26
36,Australia,1950,Female,2.81,2.71,2.91
36,Australia,1950,Male,3.50,3.38,3.62
40,Austria,1950,Total,8.35,8.06,8.65
40,Austria,1950,Female,7.43,7.10,7.77
40,Austria,1950,Male,9.22,8.83,9.62
56,Belgium,1950,Total,5.47,5.27,5.66
56,Belgium,1950,Female,4.79,4.60,4.97
56,Belgium,1950,Male,6.11,5.89,6.34
204,Benin,1950,Total,35.16,31.29,39.76
204,Benin,1950,Female,33.84,29.92,38.39
204,Benin,1950,Male,36.45,32.25,41.28
854,Burkina Faso,1950,Total,38.27,33.41,43.69
854,Burkina Faso,1950,Female,37.01,32.08,42.44
854,Burkina Faso,1950,Male,39.45,34.33,45.31
50,Bangladesh,1950,Total,34.53,29.55,40.84
50,Bangladesh,1950,Female,33.71,28.71,39.89
50,Bangladesh,1950,Male,35.32,30.10,41.84
100,Bulgaria,1950,Total,12.91,12.45,13.37
100,Bulgaria,1950,Female,12.25,11.64,12.87
100,Bulgaria,1950,Male,13.54,12.91,14.19
76,Brazil,1950,Total,21.52,17.81,26.04
76,Brazil,1950,Female,20.04,16.49,24.36
76,Brazil,1950,Male,22.90,18.91,27.85
52,Barbados,1950,Total,17.09,16.47,17.71
52,Barbados,1950,Female,16.14,15.37,16.94
52,Barbados,1950,Male,17.98,17.18,18.79
96,Brunei Darussalam,1950,Total,21.17,20.18,22.22
96,Brunei Darussalam,1950,Female,19.75,18.69,20.88
96,Brunei Darussalam,1950,Male,22.53,21.37,23.77
124,Canada,1950,Total,4.86,4.71,5.01
124,Canada,1950,Female,4.30,4.17,4.45
124,Canada,1950,Male,5.38,5.22,5.55
756,Switzerland,1950,Total,3.86,3.65,4.06
756,Switzerland,1950,Female,3.38,3.19,3.58
756,Switzerland,1950,Male,4.30,4.06,4.55
178,Congo,1950,Total,27.95,24.06,32.52
178,Congo,1950,Female,26.99,23.02,31.51
178,Congo,1950,Male,28.89,24.80,33.72
132,Cabo Verde,1950,Total,20.89,17.89,24.31
132,Cabo Verde,1950,Female,20.07,17.07,23.45
132,Cabo Verde,1950,Male,21.71,18.53,25.39
188,Costa Rica,1950,Total,12.71,12.31,13.13
188,Costa Rica,1950,Female,11.99,11.58,12.42
188,Costa Rica,1950,Male,13.39,12.95,13.86
208,Denmark,1950,Total,3.40,3.20,3.61
208,Denmark,1950,Female,2.93,2.74,3.12
208,Denmark,1950,Male,3.85,3.61,4.09
214,Dominican Republic,1950,Total,14.47,11.68,17.63
214,Dominican Republic,1950,Female,14.09,11.32,17.21
214,Dominican Republic,1950,Male,14.84,11.93,18.08
724,Spain,1950,Total,10.34,9.99,10.73
724,Spain,1950,Female,9.83,9.49,10.21
724,Spain,1950,Male,10.83,10.45,11.24
246,Finland,1950,Total,4.33,4.19,4.47
246,Finland,1950,Female,3.84,3.70,3.98
246,Finland,1950,Male,4.80,4.63,4.96
242,Fiji,1950,Total,12.61,11.39,14.03
242,Fiji,1950,Female,12.08,10.84,13.52
242,Fiji,1950,Male,13.13,11.79,14.63
250,France,1950,Total,5.72,5.53,5.90
250,France,1950,Female,5.04,4.87,5.21
250,France,1950,Male,6.36,6.15,6.57
266,Gabon,1950,Total,29.96,26.09,34.55
826,United Kingdom of Great Britain and Northern Ireland,1950,Total,3.66,3.54,3.78
826,United Kingdom of Great Britain and Northern Ireland,1950,Female,3.21,3.10,3.32
826,United Kingdom of Great Britain and Northern Ireland,1950,Male,4.09,3.96,4.22
288,Ghana,1950,Total,25.30,22.20,28.95
288,Ghana,1950,Female,24.14,21.06,27.73
288,Ghana,1950,Male,26.42,23.05,30.40
324,Guinea,1950,Total,35.94,31.91,40.33
324,Guinea,1950,Female,34.80,30.78,39.23
324,Guinea,1950,Male,37.03,32.80,41.72
300,Greece,1950,Total,5.73,5.31,6.25
300,Greece,1950,Female,5.59,5.15,6.12
300,Greece,1950,Male,5.88,5.41,6.42
308,Grenada,1950,Total,14.95,14.08,15.89
308,Grenada,1950,Female,14.64,13.72,15.63
308,Grenada,1950,Male,15.24,14.29,16.26
328,Guyana,1950,Total,15.32,12.39,18.91
328,Guyana,1950,Female,14.00,11.25,17.38
328,Guyana,1950,Male,16.59,13.34,20.52
348,Hungary,1950,Total,10.35,9.96,10.77
348,Hungary,1950,Female,9.43,9.06,9.82
348,Hungary,1950,Male,11.24,10.80,11.70
372,Ireland,1950,Total,5.42,5.24,5.61
372,Ireland,1950,Female,4.81,4.63,5.00
372,Ireland,1950,Male,6.01,5.79,6.24
368,Iraq,1950,Total,35.48,30.93,41.05
352,Iceland,1950,Total,2.97,2.70,3.27
352,Iceland,1950,Female,2.68,2.42,2.97
352,Iceland,1950,Male,3.24,2.93,3.59
380,Italy,1950,Total,8.89,8.42,9.43
380,Italy,1950,Female,8.43,7.96,8.95
380,Italy,1950,Male,9.34,8.82,9.92
400,Jordan,1950,Total,27.47,24.58,31.05
400,Jordan,1950,Female,27.61,24.52,31.36
400,Jordan,1950,Male,27.38,24.32,31.03
392,Japan,1950,Total,9.13,8.84,9.43
392,Japan,1950,Female,8.78,8.50,9.07
392,Japan,1950,Male,9.46,9.16,9.77
296,Kiribati,1950,Total,21.91,18.55,26.10
296,Kiribati,1950,Female,21.00,17.66,25.08
296,Kiribati,1950,Male,22.82,19.20,27.29
410,Republic of Korea,1950,Total,36.33,30.37,43.71
662,Saint Lucia,1950,Total,20.22,19.49,21.00
662,Saint Lucia,1950,Female,20.19,19.33,21.11
662,Saint Lucia,1950,Male,20.24,19.38,21.14
442,Luxembourg,1950,Total,6.23,5.80,6.68
442,Luxembourg,1950,Female,5.60,5.18,6.06
442,Luxembourg,1950,Male,6.82,6.32,7.35
470,Malta,1950,Total,10.08,9.66,10.52
470,Malta,1950,Female,9.36,8.85,9.92
470,Malta,1950,Male,10.75,10.19,11.32
478,Mauritania,1950,Total,31.01,26.90,35.97
478,Mauritania,1950,Female,29.81,25.73,34.65
478,Mauritania,1950,Male,32.13,27.76,37.37
480,Mauritius,1950,Total,12.04,10.76,13.46
480,Mauritius,1950,Female,11.60,10.34,13.00
480,Mauritius,1950,Male,12.45,11.11,13.93
458,Malaysia,1950,Total,16.78,14.01,20.12
458,Malaysia,1950,Female,16.05,13.32,19.31
458,Malaysia,1950,Male,17.49,14.52,21.09
570,Niue,1950,Total,13.29,11.36,15.55
570,Niue,1950,Female,12.57,10.65,14.80
570,Niue,1950,Male,13.98,11.87,16.43
528,Netherlands (Kingdom of the),1950,Total,3.19,3.09,3.29
528,Netherlands (Kingdom of the),1950,Female,2.82,2.73,2.91
528,Netherlands (Kingdom of the),1950,Male,3.54,3.43,3.66
578,Norway,1950,Total,3.28,3.09,3.49
578,Norway,1950,Female,2.88,2.70,3.08
578,Norway,1950,Male,3.67,3.45,3.92
524,Nepal,1950,Total,33.68,27.57,41.19
524,Nepal,1950,Female,33.51,27.42,41.05
524,Nepal,1950,Male,33.81,27.60,41.41
554,New Zealand,1950,Total,3.55,3.44,3.66
554,New Zealand,1950,Female,3.17,3.05,3.29
554,New Zealand,1950,Male,3.92,3.78,4.05
586,Pakistan,1950,Total,37.69,31.99,44.54
598,Papua New Guinea,1950,Total,26.53,22.13,31.79
598,Papua New Guinea,1950,Female,25.59,21.21,30.82
598,Papua New Guinea,1950,Male,27.41,22.87,32.94
616,Poland,1950,Total,11.92,11.51,12.34
616,Poland,1950,Female,10.87,10.49,11.26
616,Poland,1950,Male,12.93,12.47,13.37
620,Portugal,1950,Total,13.88,13.38,14.40
620,Portugal,1950,Female,13.17,12.68,13.67
620,Portugal,1950,Male,14.56,14.02,15.11
686,Senegal,1950,Total,33.81,29.93,38.37
686,Senegal,1950,Female,33.27,29.34,37.81
686,Senegal,1950,Male,34.34,30.25,39.08
702,Singapore,1950,Total,14.24,13.71,14.78
702,Singapore,1950,Female,13.89,13.34,14.45
702,Singapore,1950,Male,14.58,14.02,15.16
752,Sweden,1950,Total,2.71,2.56,2.88
752,Sweden,1950,Female,2.36,2.22,2.52
752,Sweden,1950,Male,3.05,2.87,3.25
748,Eswatini,1950,Total,23.93,18.63,30.38
748,Eswatini,1950,Female,22.83,17.71,29.04
748,Eswatini,1950,Male,24.95,19.39,31.90
690,Seychelles,1950,Total,11.64,10.06,13.43
690,Seychelles,1950,Female,11.16,9.59,12.93
690,Seychelles,1950,Male,12.08,10.40,14.03
768,Togo,1950,Total,28.15,25.28,31.35
768,Togo,1950,Female,26.60,23.77,29.81
768,Togo,1950,Male,29.65,26.52,33.12
764,Thailand,1950,Total,20.70,17.47,24.27
764,Thailand,1950,Female,20.02,16.83,23.61
764,Thailand,1950,Male,21.33,17.96,25.11
858,Uruguay,1950,Total,6.66,6.45,6.88
858,Uruguay,1950,Female,6.00,5.74,6.28
858,Uruguay,1950,Male,7.29,7.00,7.59
840,United States of America,1950,Total,3.76,3.66,3.87
840,United States of America,1950,Female,3.29,3.20,3.39
840,United States of America,1950,Male,4.21,4.09,4.34
92,British Virgin Islands,1950,Total,10.92,8.02,14.85
92,British Virgin Islands,1950,Female,9.30,6.85,12.66
92,British Virgin Islands,1950,Male,12.44,9.12,16.96
882,Samoa,1950,Total,15.53,13.97,17.23
882,Samoa,1950,Female,14.85,13.24,16.65
882,Samoa,1950,Male,16.19,14.46,18.06
28,Antigua and Barbuda,1951,Total,11.65,10.95,12.42
28,Antigua and Barbuda,1951,Female,11.26,10.47,12.10
28,Antigua and Barbuda,1951,Male,12.02,11.24,12.88
36,Australia,1951,Total,3.10,3.03,3.17
36,Australia,1951,Female,2.75,2.68,2.82
36,Australia,1951,Male,3.43,3.34,3.51
40,Austria,1951,Total,7.38,7.21,7.55
40,Austria,1951,Female,6.53,6.30,6.77
40,Austria,1951,Male,8.18,7.92,8.44
56,Belgium,1951,Total,5.44,5.32,5.56
56,Belgium,1951,Female,4.77,4.65,4.89
56,Belgium,1951,Male,6.08,5.93,6.23
204,Benin,1951,Total,34.76,31.15,39.01
204,Benin,1951,Female,33.44,29.79,37.69
204,Benin,1951,Male,36.04,32.18,40.55
854,Burkina Faso,1951,Total,37.95,33.23,43.14
854,Burkina Faso,1951,Female,36.69,31.96,41.87
854,Burkina Faso,1951,Male,39.17,34.16,44.69
50,Bangladesh,1951,Total,33.52,29.06,39.03
50,Bangladesh,1951,Female,32.75,28.27,38.24
50,Bangladesh,1951,Male,34.27,29.65,40.02
100,Bulgaria,1951,Total,12.66,12.36,12.96
100,Bulgaria,1951,Female,11.99,11.48,12.51
100,Bulgaria,1951,Male,13.29,12.78,13.81
76,Brazil,1951,Total,21.09,17.49,25.42
76,Brazil,1951,Female,19.62,16.18,23.82
76,Brazil,1951,Male,22.49,18.59,27.17
52,Barbados,1951,Total,17.48,17.05,17.91
52,Barbados,1951,Female,16.51,15.89,17.17
52,Barbados,1951,Male,18.39,17.74,19.05
96,Brunei Darussalam,1951,Total,19.71,19.01,20.46
96,Brunei Darussalam,1951,Female,18.32,17.52,19.17
96,Brunei Darussalam,1951,Male,21.04,20.17,21.94
124,Canada,1951,Total,4.61,4.52,4.71
124,Canada,1951,Female,4.08,3.99,4.18
124,Canada,1951,Male,5.12,5.00,5.24
756,Switzerland,1951,Total,3.72,3.60,3.84
756,Switzerland,1951,Female,3.26,3.14,3.38
756,Switzerland,1951,Male,4.16,4.01,4.30
178,Congo,1951,Total,27.24,23.50,31.55
178,Congo,1951,Female,26.26,22.51,30.58
178,Congo,1951,Male,28.15,24.19,32.72
184,Cook Islands,1951,Total,19.32,14.58,26.74
184,Cook Islands,1951,Female,22.01,16.48,30.46
184,Cook Islands,1951,Male,16.74,12.53,23.22
132,Cabo Verde,1951,Total,20.48,17.53,23.87
132,Cabo Verde,1951,Female,19.64,16.76,23.03
132,Cabo Verde,1951,Male,21.26,18.15,24.91
188,Costa Rica,1951,Total,13.09,12.81,13.38
188,Costa Rica,1951,Female,12.30,11.98,12.61
188,Costa Rica,1951,Male,13.85,13.52,14.19
208,Denmark,1951,Total,3.34,3.23,3.46
208,Denmark,1951,Female,2.87,2.76,2.99
208,Denmark,1951,Male,3.78,3.65,3.92
214,Dominican Republic,1951,Total,14.53,12.04,17.32
214,Dominican Republic,1951,Female,14.17,11.71,16.94
214,Dominican Republic,1951,Male,14.87,12.27,17.75
724,Spain,1951,Total,9.23,9.03,9.45
724,Spain,1951,Female,8.59,8.39,8.80
724,Spain,1951,Male,9.84,9.62,10.07
246,Finland,1951,Total,4.17,4.08,4.26
246,Finland,1951,Female,3.70,3.60,3.80
246,Finland,1951,Male,4.61,4.50,4.73
242,Fiji,1951,Total,12.18,11.01,13.51
242,Fiji,1951,Female,11.65,10.48,13.00
242,Fiji,1951,Male,12.68,11.40,14.12
250,France,1951,Total,5.33,5.22,5.45
250,France,1951,Female,4.70,4.60,4.81
250,France,1951,Male,5.93,5.80,6.07
266,Gabon,1951,Total,29.14,25.46,33.53
826,United Kingdom of Great Britain and Northern Ireland,1951,Total,3.51,3.43,3.59
826,United Kingdom of Great Britain and Northern Ireland,1951,Female,3.07,3.00,3.15
826,United Kingdom of Great Britain and Northern Ireland,1951,Male,3.92,3.83,4.01
288,Ghana,1951,Total,24.75,21.73,28.29
288,Ghana,1951,Female,23.58,20.63,27.04
288,Ghana,1951,Male,25.81,22.60,29.63
324,Guinea,1951,Total,35.95,31.87,40.36
324,Guinea,1951,Female,34.80,30.71,39.30
324,Guinea,1951,Male,37.03,32.75,41.76
300,Greece,1951,Total,5.87,5.66,6.09
300,Greece,1951,Female,5.73,5.48,6.00
300,Greece,1951,Male,5.99,5.74,6.27
308,Grenada,1951,Total,14.87,14.24,15.53
308,Grenada,1951,Female,14.57,13.87,15.32
308,Grenada,1951,Male,15.14,14.45,15.90
328,Guyana,1951,Total,14.63,11.99,17.80
328,Guyana,1951,Female,13.32,10.87,16.25
328,Guyana,1951,Male,15.87,12.96,19.35
348,Hungary,1951,Total,8.46,8.24,8.69
348,Hungary,1951,Female,7.66,7.45,7.87
348,Hungary,1951,Male,9.23,8.98,9.48
360,Indonesia,1951,Total,29.14,25.41,33.34
360,Indonesia,1951,Female,27.32,23.81,31.40
360,Indonesia,1951,Male,30.86,26.90,35.34
372,Ireland,1951,Total,5.20,5.07,5.32
372,Ireland,1951,Female,4.60,4.47,4.73
372,Ireland,1951,Male,5.76,5.61,5.91
368,Iraq,1951,Total,33.37,29.13,38.60
368,Iraq,1951,Female,32.23,27.95,37.35
368,Iraq,1951,Male,34.54,29.92,40.00
352,Iceland,1951,Total,2.84,2.64,3.07
352,Iceland,1951,Female,2.57,2.36,2.79
352,Iceland,1951,Male,3.11,2.87,3.38
380,Italy,1951,Total,8.18,7.91,8.46
380,Italy,1951,Female,7.73,7.47,8.00
380,Italy,1951,Male,8.61,8.32,8.91
400,Jordan,1951,Total,26.03,23.42,29.19
400,Jordan,1951,Female,26.17,23.39,29.47
400,Jordan,1951,Male,25.92,23.20,29.14
392,Japan,1951,Total,8.26,8.08,8.44
392,Japan,1951,Female,7.91,7.73,8.09
392,Japan,1951,Male,8.59,8.40,8.79
296,Kiribati,1951,Total,21.86,18.88,25.50
296,Kiribati,1951,Female,20.94,18.00,24.52
296,Kiribati,1951,Male,22.75,19.50,26.66
410,Republic of Korea,1951,Total,30.76,26.22,36.28
410,Republic of Korea,1951,Female,29.99,25.46,35.49
410,Republic of Korea,1951,Male,31.52,26.75,37.26
662,Saint Lucia,1951,Total,19.94,19.35,20.54
662,Saint Lucia,1951,Female,19.90,19.19,20.66
662,Saint Lucia,1951,Male,19.96,19.24,20.70
144,Sri Lanka,1951,Total,13.06,11.33,15.04
144,Sri Lanka,1951,Female,12.62,10.92,14.57
144,Sri Lanka,1951,Male,13.48,11.68,15.55
442,Luxembourg,1951,Total,5.96,5.65,6.29
442,Luxembourg,1951,Female,5.34,5.02,5.69
442,Luxembourg,1951,Male,6.55,6.17,6.95
484,Mexico,1951,Total,23.73,19.81,28.61
484,Mexico,1951,Female,22.88,19.05,27.74
484,Mexico,1951,Male,24.51,20.37,29.58
470,Malta,1951,Total,9.90,9.61,10.19
470,Malta,1951,Female,9.19,8.76,9.64
470,Malta,1951,Male,10.56,10.12,11.02
478,Mauritania,1951,Total,30.56,26.44,35.60
478,Mauritania,1951,Female,29.38,25.25,34.32
478,Mauritania,1951,Male,31.68,27.30,37.05
480,Mauritius,1951,Total,13.21,12.70,13.73
480,Mauritius,1951,Female,12.85,12.32,13.40
480,Mauritius,1951,Male,13.54,12.99,14.10
458,Malaysia,1951,Total,15.88,13.51,18.62
458,Malaysia,1951,Female,15.13,12.81,17.85
458,Malaysia,1951,Male,16.55,14.02,19.57
570,Niue,1951,Total,13.03,11.14,15.20
570,Niue,1951,Female,12.30,10.41,14.50
570,Niue,1951,Male,13.71,11.64,16.09
528,Netherlands (Kingdom of the),1951,Total,3.04,2.98,3.11
528,Netherlands (Kingdom of the),1951,Female,2.69,2.62,2.76
528,Netherlands (Kingdom of the),1951,Male,3.38,3.30,3.46
578,Norway,1951,Total,3.08,2.98,3.19
578,Norway,1951,Female,2.70,2.60,2.81
578,Norway,1951,Male,3.45,3.32,3.58
524,Nepal,1951,Total,33.60,27.92,40.48
524,Nepal,1951,Female,33.49,27.79,40.40
524,Nepal,1951,Male,33.73,27.99,40.76
554,New Zealand,1951,Total,3.47,3.40,3.55
554,New Zealand,1951,Female,3.09,3.00,3.18
554,New Zealand,1951,Male,3.84,3.74,3.94
586,Pakistan,1951,Total,36.12,31.01,42.13
586,Pakistan,1951,Female,35.50,30.39,41.50
586,Pakistan,1951,Male,36.71,31.40,42.90
591,Panama,1951,Total,12.03,9.80,14.69
591,Panama,1951,Female,11.31,9.18,13.89
591,Panama,1951,Male,12.69,10.33,15.58
598,Papua New Guinea,1951,Total,25.79,21.92,30.31
598,Papua New Guinea,1951,Female,24.86,21.01,29.38
